Retailer ID,Retailer Name,Retailer SKU,UPC,Model Number,Title,Brand,Category,Subcategory,Week ID,Week Ending,Review Date,Review ID,Review Stars,Is Verified,Has Response,Review Text,Review Title,Reviews Url,Reviewer
1,Amazon.com,B0735Q681B,7.54465E+11,70907205419,SKYN Elite – 36 Count – Ultra-Thin  Lubricated Latex-Free Condoms,SKYN,Sexual Wellness,Condoms,202245,11/12/2022,11/12/2022,R3A94R1G39RSYD,5,yes,no, Pretty good rubbers. Great for pounding  and all kinds of positions. Feels great inside of vag , Good Rubbers ,https://www.amazon.com/gp/customer-reviews/R3A94R1G39RSYD/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B0735Q681B,Fat Dabs
1,Amazon.com,B00WX0RJVS,8.85893E+11,2076438,SKYN Elite Condoms  10 Count (Pack of 1),SKYN,Sexual Wellness,Condoms,202245,11/12/2022,11/12/2022,R2MBHRRN9LP4VS,5,yes,no, They are good  out of the whole box i did have two of them rip on me , They are good ,https://www.amazon.com/gp/customer-reviews/R2MBHRRN9LP4VS/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B00WX0RJVS,Roberto coronado medina
1,Amazon.com,B004TTXA3W,8.91152E+11,2076453,"SKYN Polyisoprene Large Condoms  Natural, 12 Count",SKYN,Sexual Wellness,Condoms,202245,11/12/2022,11/12/2022,R1QSDLGH59FSR9,5,yes,no, My kids use my Amazon account and my junior in college texted me to give me a head’s up that he had ordered these. The local pharmacies and stores around his college jack up the prices and apparently condoms are more expensive. While I didn’t ask him to share with me any details  he has ordered them twice and I have no grandchildren as of yet. Ideal for any parent to send to son or daughter. , Son from college vouches for these! ,https://www.amazon.com/gp/customer-reviews/R1QSDLGH59FSR9/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B004TTXA3W,Maia Marie
1,Amazon.com,B007ZLL2LS,,7512,"SKYN Elite Extra Lube – Ultra-Thin  Lubricated Latex-Free Condoms – Ultra-Silky Lubrication for Maximum Comfort​, 12 Count (Pack of 1)",SKYN,Sexual Wellness,Condoms,202245,11/12/2022,11/12/2022,R2SFPAKO9OGGGJ,5,yes,no, What can I say keeps me protected lol. Will definitely buy again. No worries about making a baby. , Works... ,https://www.amazon.com/gp/customer-reviews/R2SFPAKO9OGGGJ/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B007ZLL2LS,R. Fell
1,Amazon.com,B004TTXA3W,8.91152E+11,2076453,"SKYN Polyisoprene Large Condoms  Natural, 12 Count",SKYN,Sexual Wellness,Condoms,202245,11/12/2022,11/11/2022,R2KQG6C61RGXBD,4,yes,no, Medium-Large but not extra large. Rolls on smoothly every time. , Perfect ,https://www.amazon.com/gp/customer-reviews/R2KQG6C61RGXBD/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B004TTXA3W,Amazon Customer
1,Amazon.com,B007ZLL2LS,,7512,"SKYN Elite Extra Lube – Ultra-Thin  Lubricated Latex-Free Condoms – Ultra-Silky Lubrication for Maximum Comfort​, 12 Count (Pack of 1)",SKYN,Sexual Wellness,Condoms,202245,11/12/2022,11/11/2022,R10ZJEKRQ4GR1R,1,yes,no," I received the box open as shown in the photo  with clear evidence of being a product that had been returned or something like that, I received 14 condoms instead of 12 as the box supposedly indicates (the only good thing about the order), but seeing such evidence does not give me confidence to use the product. ", open product ,https://www.amazon.com/gp/customer-reviews/R10ZJEKRQ4GR1R/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B007ZLL2LS,Jessica Carralero
1,Amazon.com,B0735Q681B,7.54465E+11,70907205419,SKYN Elite – 36 Count – Ultra-Thin  Lubricated Latex-Free Condoms,SKYN,Sexual Wellness,Condoms,202245,11/12/2022,11/10/2022,R22QJ7RG1MS5UR,1,yes,no, IT BROKE! AND I HAVE TO TAKE A PLAN B!! :((((( , IT BROKE! AND I HAVE TO TAKE A PLAN B!! :((((( ,https://www.amazon.com/gp/customer-reviews/R22QJ7RG1MS5UR/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B0735Q681B,Amazon Customer
1,Amazon.com,B0735Q681B,7.54465E+11,70907205419,SKYN Elite – 36 Count – Ultra-Thin  Lubricated Latex-Free Condoms,SKYN,Sexual Wellness,Condoms,202245,11/12/2022,11/9/2022,R3ECF5ZCM9MPCB,5,yes,no," Was so happy to discover this brand of condom. My wife has a minor latex allergy  and it took us a while to realize that it was the condoms we were using that were causing her to have so many issues. I have recommended them to other people I know who seem to have issues with latex allergies, and they weren't even aware that it could be the brand of condom they were using. They work well, never had an issue with quality control or breakage or anything, and they do desensitize a little, but not enough that we're not both still enjoying ourselves. ", Perfect for people sensative to latex ,https://www.amazon.com/gp/customer-reviews/R3ECF5ZCM9MPCB/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B0735Q681B,Frawgenstein
1,Amazon.com,B004TTXA7I,70907273241,7324,SKYN Original Condoms  24 Count (Pack of 1),SKYN,Sexual Wellness,Condoms,202245,11/12/2022,11/9/2022,R1F7PEU4PQ3R0X,5,yes,no, Works fine lol , Works fine ,https://www.amazon.com/gp/customer-reviews/R1F7PEU4PQ3R0X/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B004TTXA7I,NB
1,Amazon.com,B07N1HWVRQ,,,SKYN All Night Long Premium Silicone-Based Lubricant  2.7 Ounce,SKYN,Sexual Wellness,Sex Lubricants,202245,11/12/2022,11/9/2022,R3R6RAE4XQR3NW,5,yes,no, Just as advertised!. I would highly recommend this product. , One of the best ,https://www.amazon.com/gp/customer-reviews/R3R6RAE4XQR3NW/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07N1HWVRQ,Renate H
1,Amazon.com,B004TTXA3W,8.91152E+11,2076453,"SKYN Polyisoprene Large Condoms  Natural, 12 Count",SKYN,Sexual Wellness,Condoms,202245,11/12/2022,11/9/2022,R2MKWDPUV5OR2K,5,yes,no, Hear these are some good condoms so we will see , Keeping Safe ,https://www.amazon.com/gp/customer-reviews/R2MKWDPUV5OR2K/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B004TTXA3W,Maurice Mobley
1,Amazon.com,B007ZLL2LS,,7512,"SKYN Elite Extra Lube – Ultra-Thin  Lubricated Latex-Free Condoms – Ultra-Silky Lubrication for Maximum Comfort​, 12 Count (Pack of 1)",SKYN,Sexual Wellness,Condoms,202245,11/12/2022,11/9/2022,R1D5FCEPURUR4V,5,yes,no," I ordered a few different types of condoms from Amazon   these are the best ones , you can feel everything and both me and my wife are very pleased , if your looking for an honest review , you found one , just order them already LoL ", Feels great ,https://www.amazon.com/gp/customer-reviews/R1D5FCEPURUR4V/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B007ZLL2LS,Amazon Customer
1,Amazon.com,B0735Q681B,7.54465E+11,70907205419,SKYN Elite – 36 Count – Ultra-Thin  Lubricated Latex-Free Condoms,SKYN,Sexual Wellness,Condoms,202245,11/12/2022,11/8/2022,R9AOCCJ1L0G5L,5,yes,no, I have searched for a long time to find condoms that didn't leave everything smelling funny. All Skyn condoms for me don't leave that weird after smell and have some great packaging which just looks real cool. I have also never had a Skyn break on me and I will always appreciate that. , My favorite brand of condoms ,https://www.amazon.com/gp/customer-reviews/R9AOCCJ1L0G5L/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B0735Q681B,Falk14
1,Amazon.com,B00WX0RJVS,8.85893E+11,2076438,SKYN Elite Condoms  10 Count (Pack of 1),SKYN,Sexual Wellness,Condoms,202245,11/12/2022,11/8/2022,R3LT61DXL4LOJV,5,yes,no," Estos condones son los que se promete  de verdad que me siento muy a gusto con ellos, pues no se siente como si se tuviera algo puesto, algo que me encanta, pues justamente eso es lo que molesta de los condones normales.Así que si desea usar un condón que no se sienta, estos son los suyos. Yo los volveré a comprar sin duda 😉 ", Como si no tuviese nada puesto ,https://www.amazon.com/gp/customer-reviews/R3LT61DXL4LOJV/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B00WX0RJVS,Jonathan Rijo
1,Amazon.com,B0013V866A,70907079010,7901,SKYN EXCITE Female Sexual Stimulating Gel  0.5 Ounce,SKYN,Sexual Wellness,Performance Enhancers & Stimulants,202245,11/12/2022,11/8/2022,R3E2IFEZN29PYV,5,yes,no, Ive used this product for a long time , This stuff is the best if you know how to use it ,https://www.amazon.com/gp/customer-reviews/R3E2IFEZN29PYV/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B0013V866A,Mrs Applebeck
