Retailer ID,Retailer Name,Retailer SKU,UPC,Model Number,Title,Brand,Category,Subcategory,Availability Status,Availability Status Code,Week ID,Week Ending,Retail Sales,Units Sold
1,Amazon.com,B0735Q681B,7.54465E+11,70907205419,SKYN Elite – 36 Count – Ultra-Thin  Lubricated Latex-Free Condoms,SKYN,Sexual Wellness,Condoms,active,In stock,202241,10/15/2022,574819.4861,48924
1,Amazon.com,B0735Q681B,7.54465E+11,70907205419,SKYN Elite – 36 Count – Ultra-Thin  Lubricated Latex-Free Condoms,SKYN,Sexual Wellness,Condoms,active,In stock,202245,11/12/2022,540667.1347,46416
1,Amazon.com,B0735Q681B,7.54465E+11,70907205419,SKYN Elite – 36 Count – Ultra-Thin  Lubricated Latex-Free Condoms,SKYN,Sexual Wellness,Condoms,active,In stock,202236,9/10/2022,540393.3974,45664
1,Amazon.com,B0735Q681B,7.54465E+11,70907205419,SKYN Elite – 36 Count – Ultra-Thin  Lubricated Latex-Free Condoms,SKYN,Sexual Wellness,Condoms,active,In stock,202240,10/8/2022,537645.2045,45700
1,Amazon.com,B0735Q681B,7.54465E+11,70907205419,SKYN Elite – 36 Count – Ultra-Thin  Lubricated Latex-Free Condoms,SKYN,Sexual Wellness,Condoms,active,In stock,202238,9/24/2022,534394.5826,45276
1,Amazon.com,B0735Q681B,7.54465E+11,70907205419,SKYN Elite – 36 Count – Ultra-Thin  Lubricated Latex-Free Condoms,SKYN,Sexual Wellness,Condoms,active,In stock,202237,9/17/2022,531350.6465,44868
1,Amazon.com,B0735Q681B,7.54465E+11,70907205419,SKYN Elite – 36 Count – Ultra-Thin  Lubricated Latex-Free Condoms,SKYN,Sexual Wellness,Condoms,active,In stock,202244,11/5/2022,529213.7575,45016
1,Amazon.com,B0735Q681B,7.54465E+11,70907205419,SKYN Elite – 36 Count – Ultra-Thin  Lubricated Latex-Free Condoms,SKYN,Sexual Wellness,Condoms,active,In stock,202226,7/2/2022,527383.5539,44740
1,Amazon.com,B0735Q681B,7.54465E+11,70907205419,SKYN Elite – 36 Count – Ultra-Thin  Lubricated Latex-Free Condoms,SKYN,Sexual Wellness,Condoms,active,In stock,202235,9/3/2022,524427.3985,44316
1,Amazon.com,B0735Q681B,7.54465E+11,70907205419,SKYN Elite – 36 Count – Ultra-Thin  Lubricated Latex-Free Condoms,SKYN,Sexual Wellness,Condoms,active,In stock,202234,8/27/2022,522633.4258,44164
1,Amazon.com,B0735Q681B,7.54465E+11,70907205419,SKYN Elite – 36 Count – Ultra-Thin  Lubricated Latex-Free Condoms,SKYN,Sexual Wellness,Condoms,active,In stock,202243,10/29/2022,518621.9565,44084
1,Amazon.com,B0735Q681B,7.54465E+11,70907205419,SKYN Elite – 36 Count – Ultra-Thin  Lubricated Latex-Free Condoms,SKYN,Sexual Wellness,Condoms,active,In stock,202229,7/23/2022,512290.8029,43432
1,Amazon.com,B0735Q681B,7.54465E+11,70907205419,SKYN Elite – 36 Count – Ultra-Thin  Lubricated Latex-Free Condoms,SKYN,Sexual Wellness,Condoms,active,In stock,202242,10/22/2022,512201.624,43536
1,Amazon.com,B0735Q681B,7.54465E+11,70907205419,SKYN Elite – 36 Count – Ultra-Thin  Lubricated Latex-Free Condoms,SKYN,Sexual Wellness,Condoms,active,In stock,202228,7/16/2022,510819.6857,43196
1,Amazon.com,B0735Q681B,7.54465E+11,70907205419,SKYN Elite – 36 Count – Ultra-Thin  Lubricated Latex-Free Condoms,SKYN,Sexual Wellness,Condoms,active,In stock,202239,10/1/2022,507480.4623,43108
